eval_success_rate,label,lane,run_dir,seed
0.0,recovered_token_dense,original,outputs/reproductions/lss_robustness_baseline/seed_11/token_dense_ent1e3,11
0.0,baseline_sare,original,outputs/reproductions/lss_robustness_baseline/seed_11/sare_ent1e3,11
1.0,recovered_token_dense,original,outputs/reproductions/lss_robustness_baseline/seed_19/token_dense_ent1e3,19
0.0,baseline_sare,original,outputs/reproductions/lss_robustness_baseline/seed_19/sare_ent1e3,19
0.703125,recovered_token_dense,original,outputs/reproductions/lss_robustness_baseline/seed_7/token_dense_ent1e3,7
0.0,baseline_sare,original,outputs/reproductions/lss_robustness_baseline/seed_7/sare_ent1e3,7
0.0,recovered_token_dense,fresh,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3,23
0.0,baseline_sare,fresh,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3,23
0.0,recovered_token_dense,fresh,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3,29
0.0,baseline_sare,fresh,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/sare_ent1e3,29
1.0,recovered_token_dense,fresh,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/token_dense_ent1e3,31
0.0,baseline_sare,fresh,outputs/experiments/lss_claim_hardening/additional_seeds/seed_31/sare_ent1e3,31
1.0,recovered_token_dense,fresh_extra,outputs/experiments/lss_claim_broadening/additional_fresh_block/seed_37/token_dense_ent1e3,37
0.0,baseline_sare,fresh_extra,outputs/experiments/lss_claim_broadening/additional_fresh_block/seed_37/sare_ent1e3,37
0.0,recovered_token_dense,fresh_extra,outputs/experiments/lss_claim_broadening/additional_fresh_block/seed_41/token_dense_ent1e3,41
0.0,baseline_sare,fresh_extra,outputs/experiments/lss_claim_broadening/additional_fresh_block/seed_41/sare_ent1e3,41
0.0,recovered_token_dense,fresh_extra,outputs/experiments/lss_claim_broadening/additional_fresh_block/seed_43/token_dense_ent1e3,43
0.0,baseline_sare,fresh_extra,outputs/experiments/lss_claim_broadening/additional_fresh_block/seed_43/sare_ent1e3,43
1.0,recovered_token_dense,fresh_final,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/token_dense_ent1e3,47
0.0,baseline_sare,fresh_final,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/sare_ent1e3,47
1.0,recovered_token_dense,fresh_final,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/token_dense_ent1e3,53
0.0,baseline_sare,fresh_final,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/sare_ent1e3,53
1.0,recovered_token_dense,fresh_final,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/token_dense_ent1e3,59
0.0,baseline_sare,fresh_final,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/sare_ent1e3,59
0.453125,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_47/kl_lss_sare,47
0.453125,kl_lss_single_expert,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_47/kl_lss_single_expert,47
1.0,kl_lss_token_dense,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_47/kl_lss_token_dense,47
0.515625,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_53/kl_lss_sare,53
0.515625,kl_lss_single_expert,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_53/kl_lss_single_expert,53
1.0,kl_lss_token_dense,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_53/kl_lss_token_dense,53
0.421875,kl_lss_sare,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_59/kl_lss_sare,59
0.421875,kl_lss_single_expert,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_59/kl_lss_single_expert,59
1.0,kl_lss_token_dense,fresh_final,outputs/experiments/lss_long_campaign/stage3/post_unlock_weighted/fresh_final/seed_59/kl_lss_token_dense,59
1.0,kl_lss_sare,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_23/kl_lss_sare,23
0.40625,kl_lss_single_expert,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_23/kl_lss_single_expert,23
0.0,kl_lss_token_dense,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_23/kl_lss_token_dense,23
1.0,kl_lss_sare,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_29/kl_lss_sare,29
1.0,kl_lss_single_expert,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_29/kl_lss_single_expert,29
0.625,kl_lss_token_dense,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_29/kl_lss_token_dense,29
1.0,kl_lss_sare,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_31/kl_lss_sare,31
1.0,kl_lss_single_expert,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_31/kl_lss_single_expert,31
1.0,kl_lss_token_dense,fresh,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh/seed_31/kl_lss_token_dense,31
1.0,kl_lss_sare,fresh_extra,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh_extra/seed_37/kl_lss_sare,37
1.0,kl_lss_single_expert,fresh_extra,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh_extra/seed_37/kl_lss_single_expert,37
1.0,kl_lss_token_dense,fresh_extra,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh_extra/seed_37/kl_lss_token_dense,37
1.0,kl_lss_sare,fresh_extra,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh_extra/seed_41/kl_lss_sare,41
0.4375,kl_lss_single_expert,fresh_extra,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh_extra/seed_41/kl_lss_single_expert,41
0.0,kl_lss_token_dense,fresh_extra,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh_extra/seed_41/kl_lss_token_dense,41
0.46875,kl_lss_sare,fresh_extra,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh_extra/seed_43/kl_lss_sare,43
1.0,kl_lss_single_expert,fresh_extra,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh_extra/seed_43/kl_lss_single_expert,43
0.0,kl_lss_token_dense,fresh_extra,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/fresh_extra/seed_43/kl_lss_token_dense,43
0.5625,kl_lss_sare,original,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/original/seed_11/kl_lss_sare,11
1.0,kl_lss_single_expert,original,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/original/seed_11/kl_lss_single_expert,11
0.0,kl_lss_token_dense,original,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/original/seed_11/kl_lss_token_dense,11
0.578125,kl_lss_sare,original,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/original/seed_19/kl_lss_sare,19
0.0,kl_lss_single_expert,original,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/original/seed_19/kl_lss_single_expert,19
1.0,kl_lss_token_dense,original,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/original/seed_19/kl_lss_token_dense,19
1.0,kl_lss_sare,original,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/original/seed_7/kl_lss_sare,7
1.0,kl_lss_single_expert,original,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/original/seed_7/kl_lss_single_expert,7
1.0,kl_lss_token_dense,original,outputs/experiments/lss_long_campaign/stage4/post_unlock_weighted/original/seed_7/kl_lss_token_dense,7
